date,open,high,low,close,volume,average,trades
2023-08-02,193.56,195.18,191.85,192.81,39846212.0,192.945,160722
2023-08-03,191.9,196.11,185.0,187.3,49220629.0,191.132,206501
2023-08-04,187.31,191.17,181.72,182.05,91359351.0,184.285,400752
2023-08-07,183.04,183.88,177.35,179.16,76811075.0,178.92,341156
2023-08-08,178.78,180.27,177.58,179.79,54408183.0,179.02,217364
2023-08-09,180.77,181.47,177.01,178.43,48642926.0,178.493,199621
2023-08-10,179.39,180.75,177.6,178.43,43796188.0,178.832,201701
2023-08-11,178.43,178.75,176.66,177.75,40594997.0,177.794,167481
2023-08-14,177.82,179.93,177.3,179.91,35025097.0,178.936,139524
2023-08-15,179.4,180.17,177.05,177.7,32429274.0,177.9,138883
2023-08-16,178.03,178.54,176.07,176.09,34131943.0,177.459,149206
2023-08-17,176.51,177.51,173.12,173.4,46816531.0,174.621,196632
2023-08-18,173.4,175.1,171.7,174.7,47201846.0,173.839,173887
2023-08-21,175.02,176.13,173.73,175.4,37932260.0,175.237,137205
2023-08-22,176.16,177.68,175.89,177.01,33917759.0,177.012,144708
2023-08-23,178.0,181.9,177.31,181.32,44365364.0,180.657,178406
2023-08-24,182.04,183.34,175.88,176.33,45284842.0,177.683,179848
2023-08-25,176.46,179.15,175.82,178.59,39348084.0,177.832,167254
2023-08-28,178.8,180.59,178.46,180.25,33927558.0,179.627,144082
2023-08-29,180.25,184.9,179.35,184.57,44992803.0,183.287,174105
2023-08-30,184.3,187.85,183.14,187.66,52826641.0,186.938,200676
2023-08-31,187.8,189.12,187.21,188.11,49397852.0,188.162,172307
2023-09-01,188.32,189.92,188.03,189.3,37286272.0,189.03,146795
2023-09-05,188.5,189.98,187.2,189.7,35815933.0,189.099,149677
2023-09-06,188.8,189.5,181.47,182.56,69077878.0,183.793,282116
2023-09-07,181.48,182.52,173.54,178.04,94619305.0,176.73,408357
2023-09-08,179.0,180.24,177.06,178.71,55519129.0,179.065,243460
2023-09-11,179.35,180.8,177.34,179.55,48826099.0,178.832,189466
2023-09-12,179.78,180.2,174.82,176.35,76372772.0,176.724,313056
2023-09-13,176.2,177.5,173.8,174.09,69390983.0,175.035,266826
2023-09-14,174.58,176.1,173.58,175.86,49293736.0,175.366,198038
2023-09-15,176.0,177.49,173.82,174.83,89472691.0,175.111,229357
2023-09-18,175.9,179.38,174.6,178.5,55853514.0,177.919,223006
2023-09-19,178.57,179.63,177.13,179.0,44461298.0,178.422,169424
2023-09-20,178.98,179.7,175.0,175.0,48243402.0,177.052,194118
2023-09-21,175.01,176.3,173.7,174.14,51329944.0,174.882,208752
2023-09-22,174.5,177.08,174.05,174.95,48065646.0,175.469,206785
2023-09-25,175.58,176.97,173.99,176.13,39414948.0,175.67,164185
2023-09-26,175.19,175.6,171.66,172.36,54438951.0,172.725,220966
2023-09-27,172.71,173.32,169.05,170.34,56373534.0,170.541,233082
2023-09-28,170.2,172.03,167.64,170.8,48225879.0,170.321,211328
2023-09-29,171.28,173.07,170.34,171.23,43510143.0,171.602,165873
2023-10-02,172.7,174.3,170.93,173.82,42776858.0,173.28,185111
2023-10-03,173.23,173.87,170.63,170.88,42752947.0,172.132,176001
2023-10-04,170.48,174.21,169.26,173.27,44338725.0,172.928,191342
2023-10-05,173.23,175.45,172.68,174.75,41224649.0,174.245,165610
2023-10-06,175.08,177.99,172.75,177.72,49361779.0,176.354,195245
2023-10-09,176.0,179.05,175.5,178.88,36015438.0,177.865,140821
2023-10-10,179.0,179.72,177.7,178.54,37001937.0,178.682,156289
2023-10-11,178.62,180.39,177.6,180.36,39219252.0,178.936,157171
2023-10-12,180.24,182.34,179.04,181.45,47135530.0,180.961,203987
2023-10-13,181.05,181.93,178.14,178.41,41137728.0,179.408,162272
2023-10-16,178.54,179.08,175.84,178.7,44362594.0,178.142,183757
2023-10-17,178.5,178.5,174.8,176.68,49626720.0,176.863,199209
2023-10-18,176.66,177.58,175.11,175.5,45971594.0,176.354,185303
2023-10-19,175.24,177.84,174.75,174.85,47228475.0,176.255,191971
2023-10-20,174.95,175.8,172.64,172.78,51143175.0,173.772,199997
2023-10-23,172.6,174.01,169.99,173.23,45352859.0,172.364,189864
2023-10-24,173.76,173.96,171.45,172.9,36542752.0,172.726,165411
2023-10-25,172.56,173.19,169.3,169.3,45968641.0,171.515,195317
2023-10-26,169.2,171.38,165.3,167.25,58976593.0,167.583,267639
2023-10-27,167.4,168.96,166.28,168.02,50217441.0,167.912,200153
2023-10-30,168.98,171.17,168.35,169.7,42071652.0,170.075,183436
2023-10-31,169.6,170.9,167.9,170.38,35405064.0,169.881,141669
2023-11-01,170.6,175.05,169.45,174.75,47373645.0,172.641,198025
2023-11-02,174.99,181.9,169.33,171.57,63286608.0,176.665,248902
2023-11-03,172.08,176.85,171.5,176.66,66749147.0,175.589,265966
2023-11-06,177.03,179.43,176.01,178.98,49814396.0,178.602,193956
2023-11-07,178.88,182.44,178.22,182.22,55430343.0,181.324,218743
2023-11-08,181.86,183.45,181.39,182.43,41695236.0,182.663,166966
2023-11-09,182.69,184.12,181.51,182.38,43351576.0,182.923,177653
2023-11-10,182.08,186.57,181.71,186.26,52394044.0,185.375,194031
2023-11-13,185.35,186.4,184.21,185.02,33806300.0,184.831,135522
2023-11-14,184.99,188.11,184.97,187.33,47413795.0,187.319,190030
2023-11-15,187.82,189.64,187.44,188.7,43239256.0,188.45,163896
2023-11-16,188.2,190.96,187.7,190.51,45122975.0,189.711,188990
2023-11-17,189.8,190.4,188.57,189.69,41586686.0,189.6,142903
2023-11-20,189.52,191.91,188.92,191.65,38842912.0,191.299,138620
2023-11-21,191.41,191.54,189.74,190.3,30710643.0,190.516,128427
2023-11-22,190.38,192.93,190.1,191.26,33802623.0,191.727,134140
2023-11-24,191.26,191.35,189.25,189.9,20248870.0,189.788,76401
2023-11-27,189.6,190.67,188.9,190.15,31807066.0,189.802,122919
2023-11-28,189.9,191.08,189.0,189.94,31876509.0,190.171,135295
2023-11-29,189.9,192.09,188.97,189.61,31040770.0,190.093,129444
2023-11-30,189.44,190.32,188.19,190.3,39413836.0,189.342,138658
